Date,Open,High,Low,Close,Volume,Ticker,avg_sentiment_score,avg_sentiment_numeric,article_count
2022-06-03,144.4165336112239,145.46845161750497,142.01779633681872,142.9222412109375,88570300,AAPL,0.8934103548526764,-0.5,12.0
2022-06-06,144.54432571599315,146.0582990450465,142.45033046254792,143.66937255859375,71598400,AAPL,0.8569817137718201,0.2,25.0
2022-06-07,141.9096321913101,146.48101352584723,141.66385867868283,146.1959228515625,67808200,AAPL,0.8454391820864244,0.0,22.0
2022-06-08,146.06814706425965,147.33633206027957,144.9670862924701,145.45863342285156,53950200,AAPL,0.8809458819719461,0.1538461538461538,26.0
2022-06-09,144.5935179486459,145.44880522785593,140.12043568225835,140.22857666015625,69473000,AAPL,0.863810517169811,-0.1111111111111111,27.0
2022-06-10,137.90847835562724,138.38035945755297,134.74291325358388,134.81173706054688,91437900,AAPL,0.8632165217399597,-0.12,25.0
2022-06-13,130.6237513157455,132.9143631237499,129.21793348983346,129.65049743652344,122207100,AAPL,0.8493002290311067,-0.3478260869565217,23.0
2022-06-14,130.8793342743823,131.62648045825296,129.25721986088914,130.5155792236328,84784300,AAPL,0.78040502137608,0.1666666666666666,18.0
2022-06-15,132.01973022353556,135.01817091312645,129.9257495131237,133.1404571533203,91533000,AAPL,0.8643049408089031,-0.0909090909090909,22.0
2022-06-16,129.84712990963845,130.15188681987743,126.8585140784258,127.86127471923828,108123900,AAPL,0.8603789433836937,-0.375,16.0
2022-06-17,127.87107564040532,130.83018391739205,127.61546153618984,129.33587646484375,134520300,AAPL,0.8166980124436892,0.3461538461538461,26.0
2022-06-21,131.1644503344464,134.74291327638406,131.06614989697803,133.57302856445312,81000500,AAPL,0.8876287025563857,0.1764705882352941,17.0
2022-06-22,132.51128316690097,135.43107463782408,131.64617032424826,133.06182861328125,73409200,AAPL,0.8833329193294048,0.1875,16.0
2022-06-23,134.50695054622625,136.2470164136777,133.33706609243566,135.93243408203125,72433800,AAPL,0.8047117292881012,-0.0416666666666666,24.0
2022-06-24,137.53489628676303,139.51092556990343,137.4071042192977,139.26515197753906,89116800,AAPL,0.8370571322739124,0.0,16.0
2022-06-27,140.28756352140977,141.06421647374572,138.5868144624807,139.26515197753906,70207900,AAPL,0.8440919234639123,0.0476190476190476,21.0
2022-06-28,139.72716879272002,140.99535357735834,134.99848858676108,135.116455078125,67083400,AAPL,0.8442171027785853,-0.2631578947368421,19.0
2022-06-29,135.1361545226192,138.29187895229046,134.35950159386607,136.876220703125,66242400,AAPL,0.8683545667192211,-0.3043478260869565,23.0
2022-06-30,134.9297150126528,136.0307760106686,131.50855048251,134.40867614746094,98964500,AAPL,0.8890587790258999,-0.3793103448275862,29.0
2022-07-01,133.7401565905966,136.6894398129789,133.36659091632603,136.581298828125,71051600,AAPL,0.7858972450097402,0.1666666666666666,18.0
2022-07-05,135.44090360755794,139.2159820551499,134.6150930089742,139.1668243408203,73353800,AAPL,0.7084383531050249,0.0909090909090909,11.0
2022-07-06,138.96037976700046,141.68354006887108,138.69494011634768,140.5038299560547,74064300,AAPL,0.7967811040580273,-0.0625,16.0
2022-07-07,140.86755844211166,144.07245506921953,140.85773290060996,143.87583923339844,66253700,AAPL,0.8414602652192116,0.1875,16.0
