model,AUC,accuracy
LSTM,0.5424430641821947,0.4772727272727273
XGBoost,0.7070393374741202,0.6477272727272727
LightGBM,0.6682194616977225,0.6022727272727273
Ensemble,0.6940993788819876,0.6477272727272727
