Ticker,Samples,AUC,Accuracy,Precision,Recall,F1-Score,Balanced_Acc
AAPL,252,0.9945987654320988,0.9603174603174603,0.9298245613953524,0.9814814814723937,0.954954954954955,0.962962962962963
AMZN,259,0.9931252989000479,0.9536679536679536,0.9663865546137278,0.9349593495858947,0.9504132231404959,0.9527737924438068
MSFT,239,0.991204426159739,0.9623430962343096,0.9619047618956009,0.9528301886702563,0.957345971563981,0.9613775003546603
GOOG,250,0.9893308746048473,0.972,0.970873786398341,0.961538461529216,0.966183574879227,0.9704952581664911
